citation_key,item_type,title,year,journal,volume,issue,pages,doi,pmid,keywords,source_collection,source_query,url
Karuppannasamy2014Linezolidinducedopticn,article,Linezolid-induced optic neuropathy.,2014,Indian J Ophthalmol,62,4,497-500,10.4103/0301-4738.118451,24088636,thesis-body; linezolid-toxicity,thesis-body,linezolid-toxicity,https://pubmed.ncbi.nlm.nih.gov/24088636/
Esposito2015Bedaquilineanddelamanidintub,article,Bedaquiline and delamanid in tuberculosis.,2015,Expert Opin Pharmacother,16,15,2319-30,10.1517/14656566.2015.1080240,26293803,thesis-body; bedaquiline-safety-qtc,thesis-body,bedaquiline-safety-qtc,https://pubmed.ncbi.nlm.nih.gov/26293803/
Douros2015Drugdruginteractionsandsafetyo,article,"Drug-drug interactions and safety of linezolid, tedizolid, and other oxazolidinones.",2015,Expert Opin Drug Metab Toxicol,11,12,1849-59,10.1517/17425255.2015.1098617,26457865,thesis-body; linezolid-toxicity,thesis-body,linezolid-toxicity,https://pubmed.ncbi.nlm.nih.gov/26457865/
Sotgiu2015Facingmultidrugresistanttuberc,article,Facing multi-drug resistant tuberculosis.,2015,Pulm Pharmacol Ther,32,,144-8,10.1016/j.pupt.2014.04.006,24792579,thesis-body; bedaquiline-safety-qtc,thesis-body,bedaquiline-safety-qtc,https://pubmed.ncbi.nlm.nih.gov/24792579/
Tiberi2017NotAvailable,article,[Not Available].,2017,Presse Med,46,2 Pt 2,e41-e51,10.1016/j.lpm.2017.01.016,28256383,thesis-body; linezolid-toxicity,thesis-body,linezolid-toxicity,https://pubmed.ncbi.nlm.nih.gov/28256383/
Mukherjee2017Currenttherapiesforthetreat,article,Current therapies for the treatment of multidrug-resistant tuberculosis in children in India.,2017,Expert Opin Pharmacother,18,15,1595-1606,10.1080/14656566.2017.1373090,28847228,thesis-body; drtb-short-regimen-outcomes,thesis-body,drtb-short-regimen-outcomes,https://pubmed.ncbi.nlm.nih.gov/28847228/
Fox2017Group5drugsformultidrugresistantt,article,Group 5 drugs for multidrug-resistant tuberculosis: individual patient data meta-analysis.,2017,Eur Respir J,49,1,,10.1183/13993003.00993-2016,28049171,thesis-body; drtb-short-regimen-outcomes,thesis-body,drtb-short-regimen-outcomes,https://pubmed.ncbi.nlm.nih.gov/28049171/
Pontali2018Multiandextensivelydrugresist,article,Multi and extensively drug-resistant pulmonary tuberculosis: advances in diagnosis and management.,2018,Curr Opin Pulm Med,24,3,244-252,10.1097/MCP.0000000000000477,29470252,thesis-body; bedaquiline-safety-qtc,thesis-body,bedaquiline-safety-qtc,https://pubmed.ncbi.nlm.nih.gov/29470252/
Cohen2019Asafetyevaluationofbedaquilinef,article,A safety evaluation of bedaquiline for the treatment of multi-drug resistant tuberculosis.,2019,Expert Opin Drug Saf,18,10,875-882,10.1080/14740338.2019.1648429,31339384,thesis-body; bedaquiline-safety-qtc,thesis-body,bedaquiline-safety-qtc,https://pubmed.ncbi.nlm.nih.gov/31339384/
Singh2019Linezolidfordrugresistantpulmon,article,Linezolid for drug-resistant pulmonary tuberculosis.,2019,Cochrane Database Syst Rev,3,3,CD012836,10.1002/14651858.CD012836.pub2,30893466,thesis-body; linezolid-toxicity,thesis-body,linezolid-toxicity,https://pubmed.ncbi.nlm.nih.gov/30893466/
Lange2019Managementofdrugresistanttuberc,article,Management of drug-resistant tuberculosis.,2019,Lancet,394,10202,953-966,10.1016/S0140-6736(19)31882-3,31526739,thesis-body; drtb-short-regimen-outcomes,thesis-body,drtb-short-regimen-outcomes,https://pubmed.ncbi.nlm.nih.gov/31526739/
Lange2019Managementofpatientswithmultidr,article,Management of patients with multidrug-resistant tuberculosis.,2019,Int J Tuberc Lung Dis,23,6,645-662,10.5588/ijtld.18.0622,31315696,thesis-body; drtb-short-regimen-outcomes,thesis-body,drtb-short-regimen-outcomes,https://pubmed.ncbi.nlm.nih.gov/31315696/
Hickson2019Senolyticsdecreasesenescentce,article,Senolytics decrease senescent cells in humans: Preliminary report from a clinical trial of Dasatinib plus Quercetin in individuals with diabetic kidney disease.,2019,EBioMedicine,47,,446-456,10.1016/j.ebiom.2019.08.069,31542391,thesis-body; sasp-tb-clinical-translational,thesis-body,sasp-tb-clinical-translational,https://pubmed.ncbi.nlm.nih.gov/31542391/
Wang2020AllelicSpecificRegulationofxCTEx,article,Allelic-Specific Regulation of xCT Expression Increases Susceptibility to Tuberculosis by Modulating microRNA-mRNA Interactions.,2020,mSphere,5,2,,10.1128/mSphere.00263-20,32321821,thesis-body; xct-slc7a11-genetics,thesis-body,xct-slc7a11-genetics,https://pubmed.ncbi.nlm.nih.gov/32321821/
Kwak2020Changesintreatmentformultidrugre,article,Changes in treatment for multidrug-resistant tuberculosis according to national income.,2020,Eur Respir J,56,5,,10.1183/13993003.01394-2020,32586878,thesis-body; drtb-short-regimen-outcomes,thesis-body,drtb-short-regimen-outcomes,https://pubmed.ncbi.nlm.nih.gov/32586878/
Lan2020Drugassociatedadverseeventsinthet,article,Drug-associated adverse events in the treatment of multidrug-resistant tuberculosis: an individual patient data meta-analysis.,2020,Lancet Respir Med,8,4,383-394,10.1016/S2213-2600(20)30047-3,32192585,drtb-short-regimen-outcomes; linezolid-toxicity; thesis-body,thesis-body,drtb-short-regimen-outcomes,https://pubmed.ncbi.nlm.nih.gov/32192585/
Chiu2020Infectionriskinpatientsundergoin,article,Infection risk in patients undergoing treatment for inflammatory arthritis: non-biologics versus biologics.,2020,Expert Rev Clin Immunol,16,2,207-228,10.1080/1744666X.2019.1705785,31852268,thesis-body; sasp-tb-clinical-translational,thesis-body,sasp-tb-clinical-translational,https://pubmed.ncbi.nlm.nih.gov/31852268/
Aljebreen2020LinezolidInducedToxicOpticN,article,Linezolid-Induced Toxic Optic Neuropathy.,2020,Middle East Afr J Ophthalmol,27,4,235-237,10.4103/meajo.MEAJO_73_20,33814822,thesis-body; linezolid-toxicity,thesis-body,linezolid-toxicity,https://pubmed.ncbi.nlm.nih.gov/33814822/
Masuku2020Managingmultidrugresistanttube,article,Managing multidrug-resistant tuberculosis in South Africa: a budget impact analysis.,2020,Int J Tuberc Lung Dis,24,4,376-382,10.5588/ijtld.19.0409,32317060,thesis-body; drtb-short-regimen-outcomes,thesis-body,drtb-short-regimen-outcomes,https://pubmed.ncbi.nlm.nih.gov/32317060/
